ROWNUM;Name;Location;Type;TypePhoto;Power;AdmArea;X_WGS;Y_WGS;GLOBALID;
629;"Часы";"Михалковская ул., д15 пересечение с пр-м Черепановых";"КП 098-01";"";"0.125";"Северный АО";"37.52539";"55.839965";"92386980";
630;"Часы";"Мичуринский просп., д3 к1 Олимпийская деревня у ТЦ ""Фестивальный""";"КП 098-01";"";"0.125";"Западный АО";"37.464907";"55.677669";"92386981";
631;"Часы";"Теплый Стан ул., напротив д5 пересечение с местным пр.";"КП 098-01";"";"0.125";"Юго-Западный АО";"37.499202";"55.621798";"92386982";
632;"Часы";"Мастеркова ул., д2";"КП 098-01";"";"0.125";"Южный АО";"37.657425";"55.709077";"92386983";
633;"Часы";"Милашенкова ул., д4 пересечение с ул.Фонвизина";"КП 098-01";"";"0.125";"Северо-Восточный АО";"37.589102";"55.822233";"92386984";
634;"Часы";"Кутузовский просп., д48, съезд к Торговому Дому";"КП 098-01";"";"0.125";"Западный АО";"37.487892";"55.731328";"92386985";
635;"Часы";"Южнопортовая ул., д18 м.""Кожуховская""";"КП 098-01";"";"0.125";"Юго-Восточный АО";"37.68548";"55.705824";"92386986";
636;"Часы";"Победы пл., д1а пересечение с ул.1812 года";"КП 098-01";"";"0.125";"Западный АО";"37.522586";"55.736865";"92386987";
637;"Часы";"Тульская Б. ул., д13";"КП 098-01";"";"0.125";"Южный АО";"37.621589";"55.708283";"92386988";
638;"Часы";"Авиамоторная ул., д40 пересечение с 4-й Кабельной ул.";"КП 098-01";"";"0.125";"Юго-Восточный АО";"37.720829";"55.741765";"92386989";
639;"Часы";"Ленинский просп., д154";"КП 098-01";"";"0.125";"Западный АО";"37.489289";"55.65288";"92386990";
640;"Часы";"Ленинградское шоссе, д92/1 пересечение с Фестивальной ул.";"КП 098-01";"";"0.125";"Северный АО";"37.47195";"55.85324";"92386991";
